Agency,Abbrev.,Voting Members,"Appointed members, subject to Senate confirmation for THIS post",Quorum,Enough for quorum?,Statute,Political balance required?,Senate Committee with Jurisdiction,Vacancies,Republican Vacancies,Democrat Vacancies,Serving expired terms,Republican Serving Expired Terms,Democrat Serving Expired Terms,Pending nominations
Chemical Safety and Hazard Investigation Board,CSHIB,5,5,3,,42 U.S.C. § 7412(r)(6),No,Environment and Public Works,2,0,0,0,0,0,0
Commodity Futures Trading Commission,CFTC,5,5,,,7 U.S.C. §2,Yes,"Agriculture, Nutrition, and Forestry",0,0,0,0,0,0,0
Consumer Financial Protection Bureau,CFPB,N/A,N/A,N/A,N/A,12 U.S.C. §5491,No,"Banking, Housing, and Urban Affairs",1,N/A,N/A,0,N/A,N/A,1
Consumer Product Safety Commission,CPSC,5,5,3,Yes,15 U.S.C. §2053,Yes,"Commerce, Science, and Transportation",0,0,0,1,1,0,2
Defense Nuclear Facilities Safety Board,DNFSB,5,5,3,Yes,42 U.S.C. §2286,Yes,Armed Services,1,1,0,3,2,1,3
Election Assistance Commission,EAC,4,4,3,No,52 U.S.C. §20923,Yes,Rules and Administration,2,1,1,2,1,1,2
Equal Employment Opportunity Commission,EEOC,5,5,3,Yes,42 U.S.C. §2000e-4,Yes,"Health, Education, Labor, and Pensions",2,2,0,1,0,1,3
Export-Import Bank of the United States,"EIB, EXIM, EXIMBANK",5,5,3,No,12 U.S.C. §635a,Yes,"Banking, Housing, and Urban Affairs",4,2,2,0,0,0,6
Farm Credit Administration,FCA,3,3,2,Yes,12 U.S.C. §2242,Yes,"Agriculture, Nutrition, and Forestry",0,0,0,1,1,0,0
Federal Communications Commission,FCC,5,5,3,Yes,47 U.S.C. §154,Yes,"Commerce, Science, and Transportation",1,0,1,1,1,0,2
Federal Deposit Insurance Commission,FDIC,5,3,0,Yes,12 U.S.C.§1812,Yes,"Banking, Housing, and Urban Affairs",1,1,0,0,0,0,0
Federal Election Commission,FEC,5,5,4,Yes,52 U.S.C. §30106,Yes,Rules and Administration,1,0,1,4,3,1,1
Federal Energy Regulatory Commission,FERC,5,5,3,Yes,42 U.S.C. §7171,Yes,Energy and Natural Resources,1,1,0,0,0,0,1
Federal Housing Finance Agency,FHFA,N/A,N/A,N/A,N/A,,No,"Banking, Housing, and Urban Affairs",,N/A,N/A,,N/A,N/A,0
Federal Labor Relations Authority,FLRA,3,3,2,Yes,5 U.S.C. §7104,Yes,Homeland Security and Governmental Affairs,0,0,0,0,0,0,0
Federal Maritime Commission,FMC,5,5,2,Yes,46 U.S.C. §301,Yes,"Commerce, Science, and Transportation",3,1,2,0,0,0,0
Federal Mine Safety and Health Review Commission,FMSHRC,5,5,3,No,30 U.S.C. §823,No,"Health, Education, Labor, and Pensions",3,N/A,N/A,0,N/A,N/A,3
Federal Reserve System Board of Governors,FRB,7,7,4,Yes,12 U.S.C. §§241-242,No,"Banking, Housing, and Urban Affairs",2,N/A,N/A,0,N/A,N/A,2
Federal Retirement Thrift Investment Board,FRTIB,5,5,,,5 U.S.C. §8472,Yes,N/A,0,0,0,5,3,2,0
Federal Trade Commission,FTC,5,5,0,Yes,15 U.S.C. §41,Yes,"Commerce, Science, and Transportation",0,0,0,0,0,0,0
Foreign Claims Settlement Commission,FCSC,3,3,,,"22 U.S.C. §§1622, 1622c",No,N/A,,N/A,N/A,,N/A,N/A,0
Merit Systems Protection Board,MSPB,3,3,2,No,5 U.S.C. §§1201-1203,Yes,Homeland Security and Governmental Affairs,2,1,1,1,1,0,3
National Aeronautics and Space Administration,NASA,N/A,N/A,N/A,N/A,42 U.S.C. §2451,No,"Commerce, Science, and Transportation",,N/A,N/A,0,N/A,N/A,0
National Credit Union Administration,NCUA,3,3,,,12 U.S.C. §1752a,Yes,"Banking, Housing, and Urban Affairs",1,1,0,1,0,1,1
National Indian Gaming Commission,NIGC,3,3,,,25 U.S.C. §2704,Yes,Indian Affairs,0,0,0,2,,,0
National Labor Relations Board,NLRB,5,5,3,Yes,29 U.S.C. §153,Yes,"Health, Education, Labor, and Pensions",1,0,1,0,0,0,0
National Mediation Board,NMB,3,3,2,Yes,45 U.S.C. §154,Yes,"Health, Education, Labor, and Pensions",0,0,0,1,0,1,0
National Transportation Safety Board,NTSB,5,5,3,Yes,49 U.S.C. §1111,Yes,"Commerce, Science, and Transportation",0,0,0,1,1,0,0
Nuclear Regulatory Commission,NRC,5,5,3,Yes,42 U.S.C. §5841,Yes,Environment and Public Works,0,0,0,0,0,0,0
Occupational Safety and Health Review Commission,OSHRC,3,3,,,29 U.S.C. §661,No,"Health, Education, Labor, and Pensions",0,N/A,N/A,0,N/A,N/A,0
Postal Regulatory Commission,PRC,5,5,,,39 U.S.C. §502,Yes,Homeland Security and Governmental Affairs,1,0,1,1,1,0,1
Privacy and Civil Liberties Oversight Board,PCLOB,5,5,3,Yes,42 U.S.C. §2000ee,Yes,Judiciary,3,2,1,0,0,0,3
Railroad Retirement Board,RBR,3,3,,,45 U.S.C. §231f,No,"Health, Education, Labor, and Pensions",1,N/A,N/A,1,N/A,N/A,1
Securities and Exchange Commission,SEC,5,5,3,Yes,15 U.S.C. §78d,Yes,"Banking, Housing, and Urban Affairs",0,0,0,1,0,1,1
Surface Transportation Board,STB,5,5,0,Yes,49 U.S.C. §1301,Yes,"Commerce, Science, and Transportation",3,2,1,1,0,1,4
United States Agency for Global Media (prev. Broadcast Board of Governors),USAGM,9,8,,,,Yes,Foreign Relations,2,1,1,6,3,3,1
United States International Trade Commission,USITC,6,6,,,19 U.S.C. §1330,Yes,Finance,1,0,1,2,1,1,3
United States Parole Commission,USPC,5,5,,,18 U.S.C. §4202,No,Judicary,,N/A,N/A,,N/A,N/A,2
United States Postal Service,USPS,11,11,,,39 U.S.C. §202,Yes,Homeland Security and Governmental Affairs,7,,,,,,4
United States Sentencing Commission,USSC,7,7,4,Yes,28 U.S.C. §§991-99,Yes,Judiciary,3,1,2,2,1,1,5
